Episode: 0, Score: -44.0, Avg reward: -44.00
Episode: 1, Score: -44.0, Avg reward: -44.00
Episode: 2, Score: -46.0, Avg reward: -44.67
Episode: 3, Score: -46.0, Avg reward: -45.00
Episode: 4, Score: -48.0, Avg reward: -45.60
Episode: 5, Score: -48.0, Avg reward: -46.00
Episode: 6, Score: -46.0, Avg reward: -46.00
Episode: 7, Score: -42.0, Avg reward: -45.50
Episode: 8, Score: -32.0, Avg reward: -44.00
Episode: 9, Score: -42.0, Avg reward: -43.80
Episode: 10, Score: -40.0, Avg reward: -43.45
Episode: 11, Score: -46.0, Avg reward: -43.67
Episode: 12, Score: -46.0, Avg reward: -43.85
Episode: 13, Score: -48.0, Avg reward: -44.14
Episode: 14, Score: -48.0, Avg reward: -44.40
Episode: 15, Score: -48.0, Avg reward: -44.62
Episode: 16, Score: -48.0, Avg reward: -44.82
Episode: 17, Score: -42.0, Avg reward: -44.67
Episode: 18, Score: -44.0, Avg reward: -44.63
Episode: 19, Score: -42.0, Avg reward: -44.50
Episode: 20, Score: -48.0, Avg reward: -44.67
Episode: 21, Score: -46.0, Avg reward: -44.73
Episode: 22, Score: -42.0, Avg reward: -44.61
Episode: 23, Score: -48.0, Avg reward: -44.75
Episode: 24, Score: -48.0, Avg reward: -44.88
Episode: 25, Score: -48.0, Avg reward: -45.00
Episode: 26, Score: -46.0, Avg reward: -45.04
Episode: 27, Score: -42.0, Avg reward: -44.93
Episode: 28, Score: -42.0, Avg reward: -44.83
Episode: 29, Score: -46.0, Avg reward: -44.87
Episode: 30, Score: -46.0, Avg reward: -44.90
Episode: 31, Score: -48.0, Avg reward: -45.00
Episode: 32, Score: -48.0, Avg reward: -45.09
Episode: 33, Score: -44.0, Avg reward: -45.06
Episode: 34, Score: -48.0, Avg reward: -45.14
Episode: 35, Score: -46.0, Avg reward: -45.17
Episode: 36, Score: -48.0, Avg reward: -45.24
Episode: 37, Score: -40.0, Avg reward: -45.11
Episode: 38, Score: -48.0, Avg reward: -45.18
Episode: 39, Score: -48.0, Avg reward: -45.25
Episode: 40, Score: -46.0, Avg reward: -45.27
Episode: 41, Score: -40.0, Avg reward: -45.14
Episode: 42, Score: -46.0, Avg reward: -45.16
Episode: 43, Score: -48.0, Avg reward: -45.23
Episode: 44, Score: -48.0, Avg reward: -45.29
Episode: 45, Score: -48.0, Avg reward: -45.35
Episode: 46, Score: -46.0, Avg reward: -45.36
Episode: 47, Score: -36.0, Avg reward: -45.17
Episode: 48, Score: -48.0, Avg reward: -45.22
Episode: 49, Score: -48.0, Avg reward: -45.28
Episode: 50, Score: -48.0, Avg reward: -45.33
Episode: 51, Score: -44.0, Avg reward: -45.31
Episode: 52, Score: -46.0, Avg reward: -45.32
Episode: 53, Score: -46.0, Avg reward: -45.33
Episode: 54, Score: -48.0, Avg reward: -45.38
Episode: 55, Score: -48.0, Avg reward: -45.43
Episode: 56, Score: -44.0, Avg reward: -45.40
Episode: 57, Score: -48.0, Avg reward: -45.45
Episode: 58, Score: -42.0, Avg reward: -45.39
Episode: 59, Score: -46.0, Avg reward: -45.40
Episode: 60, Score: -48.0, Avg reward: -45.44
Episode: 61, Score: -48.0, Avg reward: -45.48
Episode: 62, Score: -48.0, Avg reward: -45.52
Episode: 63, Score: -38.0, Avg reward: -45.41
Episode: 64, Score: -48.0, Avg reward: -45.45
Episode: 65, Score: -48.0, Avg reward: -45.48
Episode: 66, Score: -46.0, Avg reward: -45.49
Episode: 67, Score: -46.0, Avg reward: -45.50
Episode: 68, Score: -46.0, Avg reward: -45.51
Episode: 69, Score: -46.0, Avg reward: -45.51
Episode: 70, Score: -46.0, Avg reward: -45.52
Episode: 71, Score: -48.0, Avg reward: -45.56
Episode: 72, Score: -48.0, Avg reward: -45.59
Episode: 73, Score: -46.0, Avg reward: -45.59
Episode: 74, Score: -46.0, Avg reward: -45.60
Episode: 75, Score: -46.0, Avg reward: -45.61
Episode: 76, Score: -44.0, Avg reward: -45.58
Episode: 77, Score: -32.0, Avg reward: -45.41
Episode: 78, Score: -46.0, Avg reward: -45.42
Episode: 79, Score: -48.0, Avg reward: -45.45
Episode: 80, Score: -46.0, Avg reward: -45.46
Episode: 81, Score: -48.0, Avg reward: -45.49
Episode: 82, Score: -48.0, Avg reward: -45.52
Episode: 83, Score: -48.0, Avg reward: -45.55
Episode: 84, Score: -46.0, Avg reward: -45.55
Episode: 85, Score: -46.0, Avg reward: -45.56
Episode: 86, Score: -46.0, Avg reward: -45.56
Episode: 87, Score: -46.0, Avg reward: -45.57
Episode: 88, Score: -40.0, Avg reward: -45.51
Episode: 89, Score: -48.0, Avg reward: -45.53
Episode: 90, Score: -20.0, Avg reward: -45.25
Episode: 91, Score: -46.0, Avg reward: -45.26
Episode: 92, Score: -48.0, Avg reward: -45.29
Episode: 93, Score: -46.0, Avg reward: -45.30
Episode: 94, Score: -48.0, Avg reward: -45.33
Episode: 95, Score: -42.0, Avg reward: -45.29
Episode: 96, Score: -46.0, Avg reward: -45.30
Episode: 97, Score: -42.0, Avg reward: -45.27
Episode: 98, Score: -40.0, Avg reward: -45.21
Episode: 99, Score: -46.0, Avg reward: -45.22
Episode: 100, Score: -42.0, Avg reward: -45.20
Episode: 101, Score: -48.0, Avg reward: -45.24
Episode: 102, Score: -48.0, Avg reward: -45.26
Episode: 103, Score: -46.0, Avg reward: -45.26
Episode: 104, Score: -48.0, Avg reward: -45.26
Episode: 105, Score: -46.0, Avg reward: -45.24
Episode: 106, Score: -46.0, Avg reward: -45.24
Episode: 107, Score: -48.0, Avg reward: -45.30
Episode: 108, Score: -42.0, Avg reward: -45.40
Episode: 109, Score: -46.0, Avg reward: -45.44
Episode: 110, Score: -48.0, Avg reward: -45.52
Episode: 111, Score: -48.0, Avg reward: -45.54
Episode: 112, Score: -46.0, Avg reward: -45.54
Episode: 113, Score: -46.0, Avg reward: -45.52
Episode: 114, Score: -48.0, Avg reward: -45.52
Episode: 115, Score: -46.0, Avg reward: -45.50
Episode: 116, Score: -36.0, Avg reward: -45.38
Episode: 117, Score: -44.0, Avg reward: -45.40
Episode: 118, Score: -48.0, Avg reward: -45.44
Episode: 119, Score: -42.0, Avg reward: -45.44
Episode: 120, Score: -46.0, Avg reward: -45.42
Episode: 121, Score: -48.0, Avg reward: -45.44
Episode: 122, Score: -46.0, Avg reward: -45.48
Episode: 123, Score: -48.0, Avg reward: -45.48
Episode: 124, Score: -48.0, Avg reward: -45.48
Episode: 125, Score: -46.0, Avg reward: -45.46
Episode: 126, Score: -48.0, Avg reward: -45.48
Episode: 127, Score: -48.0, Avg reward: -45.54
Episode: 128, Score: -48.0, Avg reward: -45.60
Episode: 129, Score: -44.0, Avg reward: -45.58
Episode: 130, Score: -44.0, Avg reward: -45.56
Episode: 131, Score: -46.0, Avg reward: -45.54
Episode: 132, Score: -46.0, Avg reward: -45.52
Episode: 133, Score: -46.0, Avg reward: -45.54
Episode: 134, Score: -44.0, Avg reward: -45.50
Episode: 135, Score: -44.0, Avg reward: -45.48
Episode: 136, Score: -46.0, Avg reward: -45.46
Episode: 137, Score: -48.0, Avg reward: -45.54
Episode: 138, Score: -48.0, Avg reward: -45.54
Episode: 139, Score: -46.0, Avg reward: -45.52
Episode: 140, Score: -48.0, Avg reward: -45.54
Episode: 141, Score: -48.0, Avg reward: -45.62
Episode: 142, Score: -44.0, Avg reward: -45.60
Episode: 143, Score: -42.0, Avg reward: -45.54
Episode: 144, Score: -48.0, Avg reward: -45.54
Episode: 145, Score: -42.0, Avg reward: -45.48
Episode: 146, Score: -32.0, Avg reward: -45.34
Episode: 147, Score: -48.0, Avg reward: -45.46
Episode: 148, Score: -48.0, Avg reward: -45.46
Episode: 149, Score: -38.0, Avg reward: -45.36
Episode: 150, Score: -48.0, Avg reward: -45.36
Episode: 151, Score: -48.0, Avg reward: -45.40
Episode: 152, Score: -48.0, Avg reward: -45.42
Episode: 153, Score: -46.0, Avg reward: -45.42
Episode: 154, Score: -42.0, Avg reward: -45.36
Episode: 155, Score: -32.0, Avg reward: -45.20
Episode: 156, Score: -42.0, Avg reward: -45.18
Episode: 157, Score: -46.0, Avg reward: -45.16
Episode: 158, Score: -48.0, Avg reward: -45.22
Episode: 159, Score: -48.0, Avg reward: -45.24
Episode: 160, Score: -48.0, Avg reward: -45.24
Episode: 161, Score: -48.0, Avg reward: -45.24
Episode: 162, Score: -48.0, Avg reward: -45.24
Episode: 163, Score: -48.0, Avg reward: -45.34
Episode: 164, Score: -48.0, Avg reward: -45.34
Episode: 165, Score: -44.0, Avg reward: -45.30
Episode: 166, Score: -44.0, Avg reward: -45.28
Episode: 167, Score: -48.0, Avg reward: -45.30
Episode: 168, Score: -48.0, Avg reward: -45.32
Episode: 169, Score: -38.0, Avg reward: -45.24
Episode: 170, Score: -46.0, Avg reward: -45.24
Episode: 171, Score: -46.0, Avg reward: -45.22
Episode: 172, Score: -48.0, Avg reward: -45.22
Episode: 173, Score: -46.0, Avg reward: -45.22
Episode: 174, Score: -46.0, Avg reward: -45.22
Episode: 175, Score: -44.0, Avg reward: -45.20
Episode: 176, Score: -48.0, Avg reward: -45.24
Episode: 177, Score: -48.0, Avg reward: -45.40
Episode: 178, Score: -46.0, Avg reward: -45.40
Episode: 179, Score: -30.0, Avg reward: -45.22
Episode: 180, Score: -48.0, Avg reward: -45.24
Episode: 181, Score: -48.0, Avg reward: -45.24
Episode: 182, Score: -46.0, Avg reward: -45.22
Episode: 183, Score: -48.0, Avg reward: -45.22
Episode: 184, Score: -46.0, Avg reward: -45.22
Episode: 185, Score: -14.0, Avg reward: -44.90
Episode: 186, Score: -44.0, Avg reward: -44.88
Episode: 187, Score: -48.0, Avg reward: -44.90
Episode: 188, Score: -42.0, Avg reward: -44.92
Episode: 189, Score: -44.0, Avg reward: -44.88
Episode: 190, Score: -48.0, Avg reward: -45.16
Episode: 191, Score: -44.0, Avg reward: -45.14
Episode: 192, Score: -48.0, Avg reward: -45.14
Episode: 193, Score: -48.0, Avg reward: -45.16
Episode: 194, Score: -46.0, Avg reward: -45.14
Episode: 195, Score: -44.0, Avg reward: -45.16
Episode: 196, Score: -46.0, Avg reward: -45.16
Episode: 197, Score: -48.0, Avg reward: -45.22
Episode: 198, Score: -40.0, Avg reward: -45.22
Episode: 199, Score: -42.0, Avg reward: -45.18
Episode: 200, Score: -34.0, Avg reward: -45.10
Episode: 201, Score: -46.0, Avg reward: -45.08
Episode: 202, Score: -46.0, Avg reward: -45.06
Episode: 203, Score: -46.0, Avg reward: -45.06
Episode: 204, Score: -40.0, Avg reward: -44.98
Episode: 205, Score: -42.0, Avg reward: -44.94
Episode: 206, Score: -46.0, Avg reward: -44.94
Episode: 207, Score: -48.0, Avg reward: -44.94
Episode: 208, Score: 16.0, Avg reward: -44.36
Episode: 209, Score: -34.0, Avg reward: -44.24
Episode: 210, Score: -40.0, Avg reward: -44.16
Episode: 211, Score: -42.0, Avg reward: -44.10
Episode: 212, Score: -46.0, Avg reward: -44.10
Episode: 213, Score: -42.0, Avg reward: -44.06
Episode: 214, Score: -48.0, Avg reward: -44.06
Episode: 215, Score: -42.0, Avg reward: -44.02
Episode: 216, Score: -48.0, Avg reward: -44.14
Episode: 217, Score: -44.0, Avg reward: -44.14
Episode: 218, Score: -46.0, Avg reward: -44.12
Episode: 219, Score: -46.0, Avg reward: -44.16
Episode: 220, Score: -48.0, Avg reward: -44.18
Episode: 221, Score: -44.0, Avg reward: -44.14
Episode: 222, Score: -42.0, Avg reward: -44.10
Episode: 223, Score: -46.0, Avg reward: -44.08
Episode: 224, Score: -44.0, Avg reward: -44.04
Episode: 225, Score: -48.0, Avg reward: -44.06
Episode: 226, Score: -46.0, Avg reward: -44.04
Episode: 227, Score: -42.0, Avg reward: -43.98
Episode: 228, Score: -48.0, Avg reward: -43.98
Episode: 229, Score: -44.0, Avg reward: -43.98
Episode: 230, Score: -44.0, Avg reward: -43.98
Episode: 231, Score: -48.0, Avg reward: -44.00
Episode: 232, Score: -46.0, Avg reward: -44.00
Episode: 233, Score: -44.0, Avg reward: -43.98
Episode: 234, Score: -46.0, Avg reward: -44.00
Episode: 235, Score: -42.0, Avg reward: -43.98
Episode: 236, Score: -48.0, Avg reward: -44.00
Episode: 237, Score: -42.0, Avg reward: -43.94
Episode: 238, Score: -48.0, Avg reward: -43.94
Episode: 239, Score: -48.0, Avg reward: -43.96
Episode: 240, Score: -48.0, Avg reward: -43.96
Episode: 241, Score: -48.0, Avg reward: -43.96
Episode: 242, Score: -48.0, Avg reward: -44.00
Episode: 243, Score: -48.0, Avg reward: -44.06
Episode: 244, Score: -46.0, Avg reward: -44.04
Episode: 245, Score: -40.0, Avg reward: -44.02
Episode: 246, Score: -42.0, Avg reward: -44.12
Episode: 247, Score: -46.0, Avg reward: -44.10
Episode: 248, Score: -40.0, Avg reward: -44.02
Episode: 249, Score: -44.0, Avg reward: -44.08
Episode: 250, Score: -40.0, Avg reward: -44.00
Episode: 251, Score: 4.0, Avg reward: -43.48
Episode: 252, Score: -46.0, Avg reward: -43.46
Episode: 253, Score: -48.0, Avg reward: -43.48
Episode: 254, Score: -40.0, Avg reward: -43.46
Episode: 255, Score: -46.0, Avg reward: -43.60
Episode: 256, Score: -44.0, Avg reward: -43.62
Episode: 257, Score: -48.0, Avg reward: -43.64
Episode: 258, Score: -48.0, Avg reward: -43.64
Episode: 259, Score: -48.0, Avg reward: -43.64
Episode: 260, Score: -48.0, Avg reward: -43.64
Episode: 261, Score: -48.0, Avg reward: -43.64
Episode: 262, Score: -40.0, Avg reward: -43.56
Episode: 263, Score: -48.0, Avg reward: -43.56
Episode: 264, Score: -42.0, Avg reward: -43.50
Episode: 265, Score: -46.0, Avg reward: -43.52
Episode: 266, Score: -40.0, Avg reward: -43.48
Episode: 267, Score: -36.0, Avg reward: -43.36
Episode: 268, Score: -44.0, Avg reward: -43.32
Episode: 269, Score: -46.0, Avg reward: -43.40
Episode: 270, Score: -48.0, Avg reward: -43.42
Episode: 271, Score: -42.0, Avg reward: -43.38
Episode: 272, Score: -44.0, Avg reward: -43.34
Episode: 273, Score: -46.0, Avg reward: -43.34
Episode: 274, Score: -42.0, Avg reward: -43.30
Episode: 275, Score: -48.0, Avg reward: -43.34
Episode: 276, Score: -40.0, Avg reward: -43.26
Episode: 277, Score: -42.0, Avg reward: -43.20
Episode: 278, Score: -42.0, Avg reward: -43.16
Episode: 279, Score: -40.0, Avg reward: -43.26
Episode: 280, Score: -48.0, Avg reward: -43.26
Episode: 281, Score: -46.0, Avg reward: -43.24
Episode: 282, Score: -44.0, Avg reward: -43.22
Episode: 283, Score: -48.0, Avg reward: -43.22
Episode: 284, Score: -48.0, Avg reward: -43.24
Episode: 285, Score: -46.0, Avg reward: -43.56
Episode: 286, Score: -46.0, Avg reward: -43.58
Episode: 287, Score: -36.0, Avg reward: -43.46
Episode: 288, Score: -42.0, Avg reward: -43.46
Episode: 289, Score: -46.0, Avg reward: -43.48
Episode: 290, Score: -46.0, Avg reward: -43.46
Episode: 291, Score: -42.0, Avg reward: -43.44
Episode: 292, Score: -36.0, Avg reward: -43.32
Episode: 293, Score: -46.0, Avg reward: -43.30
Episode: 294, Score: -48.0, Avg reward: -43.32
