Episode: 0, Score: -44.0, Avg reward: -44.00
Episode: 1, Score: -44.0, Avg reward: -44.00
Episode: 2, Score: -46.0, Avg reward: -44.67
Episode: 3, Score: -48.0, Avg reward: -45.50
Episode: 4, Score: -48.0, Avg reward: -46.00
Episode: 5, Score: -46.0, Avg reward: -46.00
Episode: 6, Score: -44.0, Avg reward: -45.71
Episode: 7, Score: -42.0, Avg reward: -45.25
Episode: 8, Score: -44.0, Avg reward: -45.11
Episode: 9, Score: -42.0, Avg reward: -44.80
Episode: 10, Score: -48.0, Avg reward: -45.09
Episode: 11, Score: -46.0, Avg reward: -45.17
Episode: 12, Score: -46.0, Avg reward: -45.23
Episode: 13, Score: -48.0, Avg reward: -45.43
Episode: 14, Score: -44.0, Avg reward: -45.33
Episode: 15, Score: -48.0, Avg reward: -45.50
Episode: 16, Score: -48.0, Avg reward: -45.65
Episode: 17, Score: -46.0, Avg reward: -45.67
Episode: 18, Score: -42.0, Avg reward: -45.47
Episode: 19, Score: -42.0, Avg reward: -45.30
Episode: 20, Score: -46.0, Avg reward: -45.33
Episode: 21, Score: -46.0, Avg reward: -45.36
Episode: 22, Score: -34.0, Avg reward: -44.87
Episode: 23, Score: -48.0, Avg reward: -45.00
Episode: 24, Score: -46.0, Avg reward: -45.04
Episode: 25, Score: -48.0, Avg reward: -45.15
Episode: 26, Score: -42.0, Avg reward: -45.04
Episode: 27, Score: -38.0, Avg reward: -44.79
Episode: 28, Score: -42.0, Avg reward: -44.69
Episode: 29, Score: -48.0, Avg reward: -44.80
Episode: 30, Score: -46.0, Avg reward: -44.84
Episode: 31, Score: -48.0, Avg reward: -44.94
Episode: 32, Score: -48.0, Avg reward: -45.03
Episode: 33, Score: -44.0, Avg reward: -45.00
Episode: 34, Score: -34.0, Avg reward: -44.69
Episode: 35, Score: -46.0, Avg reward: -44.72
Episode: 36, Score: -48.0, Avg reward: -44.81
Episode: 37, Score: -36.0, Avg reward: -44.58
Episode: 38, Score: -46.0, Avg reward: -44.62
Episode: 39, Score: -48.0, Avg reward: -44.70
Episode: 40, Score: -46.0, Avg reward: -44.73
Episode: 41, Score: -42.0, Avg reward: -44.67
Episode: 42, Score: -46.0, Avg reward: -44.70
Episode: 43, Score: -48.0, Avg reward: -44.77
Episode: 44, Score: -48.0, Avg reward: -44.84
Episode: 45, Score: -48.0, Avg reward: -44.91
Episode: 46, Score: -46.0, Avg reward: -44.94
Episode: 47, Score: -22.0, Avg reward: -44.46
Episode: 48, Score: -48.0, Avg reward: -44.53
Episode: 49, Score: -48.0, Avg reward: -44.60
Episode: 50, Score: -48.0, Avg reward: -44.67
Episode: 51, Score: -46.0, Avg reward: -44.69
Episode: 52, Score: -44.0, Avg reward: -44.68
Episode: 53, Score: -46.0, Avg reward: -44.70
Episode: 54, Score: -48.0, Avg reward: -44.76
Episode: 55, Score: -44.0, Avg reward: -44.75
Episode: 56, Score: -44.0, Avg reward: -44.74
Episode: 57, Score: -48.0, Avg reward: -44.79
Episode: 58, Score: -42.0, Avg reward: -44.75
Episode: 59, Score: -46.0, Avg reward: -44.77
Episode: 60, Score: -48.0, Avg reward: -44.82
Episode: 61, Score: -48.0, Avg reward: -44.87
Episode: 62, Score: -48.0, Avg reward: -44.92
Episode: 63, Score: -48.0, Avg reward: -44.97
Episode: 64, Score: -48.0, Avg reward: -45.02
Episode: 65, Score: -48.0, Avg reward: -45.06
Episode: 66, Score: -42.0, Avg reward: -45.01
Episode: 67, Score: -46.0, Avg reward: -45.03
Episode: 68, Score: -46.0, Avg reward: -45.04
Episode: 69, Score: -44.0, Avg reward: -45.03
Episode: 70, Score: -46.0, Avg reward: -45.04
Episode: 71, Score: -48.0, Avg reward: -45.08
Episode: 72, Score: -46.0, Avg reward: -45.10
Episode: 73, Score: -46.0, Avg reward: -45.11
Episode: 74, Score: -42.0, Avg reward: -45.07
Episode: 75, Score: -46.0, Avg reward: -45.08
Episode: 76, Score: -42.0, Avg reward: -45.04
Episode: 77, Score: -34.0, Avg reward: -44.90
Episode: 78, Score: -46.0, Avg reward: -44.91
Episode: 79, Score: -48.0, Avg reward: -44.95
Episode: 80, Score: -46.0, Avg reward: -44.96
Episode: 81, Score: -48.0, Avg reward: -45.00
Episode: 82, Score: -48.0, Avg reward: -45.04
Episode: 83, Score: -44.0, Avg reward: -45.02
Episode: 84, Score: -44.0, Avg reward: -45.01
Episode: 85, Score: -46.0, Avg reward: -45.02
Episode: 86, Score: -48.0, Avg reward: -45.06
Episode: 87, Score: -46.0, Avg reward: -45.07
Episode: 88, Score: -40.0, Avg reward: -45.01
Episode: 89, Score: -48.0, Avg reward: -45.04
Episode: 90, Score: -44.0, Avg reward: -45.03
Episode: 91, Score: -44.0, Avg reward: -45.02
Episode: 92, Score: -48.0, Avg reward: -45.05
Episode: 93, Score: -46.0, Avg reward: -45.06
Episode: 94, Score: -48.0, Avg reward: -45.09
Episode: 95, Score: -48.0, Avg reward: -45.12
Episode: 96, Score: -46.0, Avg reward: -45.13
Episode: 97, Score: -42.0, Avg reward: -45.10
Episode: 98, Score: -40.0, Avg reward: -45.05
Episode: 99, Score: -46.0, Avg reward: -45.06
Episode: 100, Score: -44.0, Avg reward: -45.06
Episode: 101, Score: -48.0, Avg reward: -45.10
Episode: 102, Score: -48.0, Avg reward: -45.12
Episode: 103, Score: -44.0, Avg reward: -45.08
Episode: 104, Score: -48.0, Avg reward: -45.08
Episode: 105, Score: -46.0, Avg reward: -45.08
Episode: 106, Score: -42.0, Avg reward: -45.06
Episode: 107, Score: -48.0, Avg reward: -45.12
Episode: 108, Score: -44.0, Avg reward: -45.12
Episode: 109, Score: -48.0, Avg reward: -45.18
Episode: 110, Score: -44.0, Avg reward: -45.14
Episode: 111, Score: -48.0, Avg reward: -45.16
Episode: 112, Score: -38.0, Avg reward: -45.08
Episode: 113, Score: -42.0, Avg reward: -45.02
Episode: 114, Score: -42.0, Avg reward: -45.00
Episode: 115, Score: -46.0, Avg reward: -44.98
Episode: 116, Score: -46.0, Avg reward: -44.96
Episode: 117, Score: -34.0, Avg reward: -44.84
Episode: 118, Score: -48.0, Avg reward: -44.90
Episode: 119, Score: -42.0, Avg reward: -44.90
Episode: 120, Score: -48.0, Avg reward: -44.92
Episode: 121, Score: -38.0, Avg reward: -44.84
Episode: 122, Score: -46.0, Avg reward: -44.96
Episode: 123, Score: -46.0, Avg reward: -44.94
Episode: 124, Score: -48.0, Avg reward: -44.96
Episode: 125, Score: -48.0, Avg reward: -44.96
Episode: 126, Score: -46.0, Avg reward: -45.00
Episode: 127, Score: -48.0, Avg reward: -45.10
Episode: 128, Score: -48.0, Avg reward: -45.16
Episode: 129, Score: -44.0, Avg reward: -45.12
Episode: 130, Score: -46.0, Avg reward: -45.12
Episode: 131, Score: -42.0, Avg reward: -45.06
Episode: 132, Score: -44.0, Avg reward: -45.02
Episode: 133, Score: -46.0, Avg reward: -45.04
Episode: 134, Score: -42.0, Avg reward: -45.12
Episode: 135, Score: -44.0, Avg reward: -45.10
Episode: 136, Score: -44.0, Avg reward: -45.06
Episode: 137, Score: -48.0, Avg reward: -45.18
Episode: 138, Score: -44.0, Avg reward: -45.16
Episode: 139, Score: -48.0, Avg reward: -45.16
Episode: 140, Score: -48.0, Avg reward: -45.18
Episode: 141, Score: -48.0, Avg reward: -45.24
Episode: 142, Score: -22.0, Avg reward: -45.00
Episode: 143, Score: -42.0, Avg reward: -44.94
Episode: 144, Score: -48.0, Avg reward: -44.94
Episode: 145, Score: -46.0, Avg reward: -44.92
Episode: 146, Score: -22.0, Avg reward: -44.68
Episode: 147, Score: -48.0, Avg reward: -44.94
Episode: 148, Score: -44.0, Avg reward: -44.90
Episode: 149, Score: -42.0, Avg reward: -44.84
Episode: 150, Score: -48.0, Avg reward: -44.84
Episode: 151, Score: -48.0, Avg reward: -44.86
Episode: 152, Score: -48.0, Avg reward: -44.90
Episode: 153, Score: -42.0, Avg reward: -44.86
Episode: 154, Score: -6.0, Avg reward: -44.44
Episode: 155, Score: -46.0, Avg reward: -44.46
Episode: 156, Score: -44.0, Avg reward: -44.46
Episode: 157, Score: -46.0, Avg reward: -44.44
Episode: 158, Score: -48.0, Avg reward: -44.50
Episode: 159, Score: -44.0, Avg reward: -44.48
Episode: 160, Score: -48.0, Avg reward: -44.48
Episode: 161, Score: -44.0, Avg reward: -44.44
Episode: 162, Score: -48.0, Avg reward: -44.44
Episode: 163, Score: -46.0, Avg reward: -44.42
Episode: 164, Score: -48.0, Avg reward: -44.42
Episode: 165, Score: -36.0, Avg reward: -44.30
Episode: 166, Score: -44.0, Avg reward: -44.32
Episode: 167, Score: -46.0, Avg reward: -44.32
Episode: 168, Score: -48.0, Avg reward: -44.34
Episode: 169, Score: -42.0, Avg reward: -44.32
Episode: 170, Score: -46.0, Avg reward: -44.32
Episode: 171, Score: -46.0, Avg reward: -44.30
Episode: 172, Score: -46.0, Avg reward: -44.30
Episode: 173, Score: -46.0, Avg reward: -44.30
Episode: 174, Score: -44.0, Avg reward: -44.32
Episode: 175, Score: -48.0, Avg reward: -44.34
Episode: 176, Score: -46.0, Avg reward: -44.38
Episode: 177, Score: -48.0, Avg reward: -44.52
Episode: 178, Score: -46.0, Avg reward: -44.52
Episode: 179, Score: -44.0, Avg reward: -44.48
Episode: 180, Score: -44.0, Avg reward: -44.46
Episode: 181, Score: -48.0, Avg reward: -44.46
Episode: 182, Score: -42.0, Avg reward: -44.40
Episode: 183, Score: -48.0, Avg reward: -44.44
Episode: 184, Score: -44.0, Avg reward: -44.44
Episode: 185, Score: -12.0, Avg reward: -44.10
Episode: 186, Score: -48.0, Avg reward: -44.10
Episode: 187, Score: -48.0, Avg reward: -44.12
Episode: 188, Score: -24.0, Avg reward: -43.96
Episode: 189, Score: -44.0, Avg reward: -43.92
Episode: 190, Score: -48.0, Avg reward: -43.96
Episode: 191, Score: -44.0, Avg reward: -43.96
Episode: 192, Score: -48.0, Avg reward: -43.96
Episode: 193, Score: -48.0, Avg reward: -43.98
Episode: 194, Score: -36.0, Avg reward: -43.86
Episode: 195, Score: -44.0, Avg reward: -43.82
Episode: 196, Score: -46.0, Avg reward: -43.82
Episode: 197, Score: -48.0, Avg reward: -43.88
Episode: 198, Score: -46.0, Avg reward: -43.94
Episode: 199, Score: -44.0, Avg reward: -43.92
Episode: 200, Score: -36.0, Avg reward: -43.84
Episode: 201, Score: -46.0, Avg reward: -43.82
Episode: 202, Score: -48.0, Avg reward: -43.82
Episode: 203, Score: -48.0, Avg reward: -43.86
Episode: 204, Score: -40.0, Avg reward: -43.78
Episode: 205, Score: -40.0, Avg reward: -43.72
Episode: 206, Score: -40.0, Avg reward: -43.70
Episode: 207, Score: -48.0, Avg reward: -43.70
Episode: 208, Score: -42.0, Avg reward: -43.68
Episode: 209, Score: -46.0, Avg reward: -43.66
Episode: 210, Score: -40.0, Avg reward: -43.62
Episode: 211, Score: -46.0, Avg reward: -43.60
Episode: 212, Score: -46.0, Avg reward: -43.68
Episode: 213, Score: -44.0, Avg reward: -43.70
Episode: 214, Score: -48.0, Avg reward: -43.76
Episode: 215, Score: -46.0, Avg reward: -43.76
Episode: 216, Score: -48.0, Avg reward: -43.78
Episode: 217, Score: -36.0, Avg reward: -43.80
Episode: 218, Score: -42.0, Avg reward: -43.74
Episode: 219, Score: -44.0, Avg reward: -43.76
Episode: 220, Score: -46.0, Avg reward: -43.74
Episode: 221, Score: -44.0, Avg reward: -43.80
Episode: 222, Score: -48.0, Avg reward: -43.82
Episode: 223, Score: -46.0, Avg reward: -43.82
Episode: 224, Score: -46.0, Avg reward: -43.80
Episode: 225, Score: -48.0, Avg reward: -43.80
Episode: 226, Score: -46.0, Avg reward: -43.80
Episode: 227, Score: -44.0, Avg reward: -43.76
Episode: 228, Score: -46.0, Avg reward: -43.74
Episode: 229, Score: -46.0, Avg reward: -43.76
Episode: 230, Score: -46.0, Avg reward: -43.76
Episode: 231, Score: -48.0, Avg reward: -43.82
Episode: 232, Score: -38.0, Avg reward: -43.76
Episode: 233, Score: -44.0, Avg reward: -43.74
Episode: 234, Score: -46.0, Avg reward: -43.78
Episode: 235, Score: -48.0, Avg reward: -43.82
Episode: 236, Score: -48.0, Avg reward: -43.86
Episode: 237, Score: -44.0, Avg reward: -43.82
Episode: 238, Score: -30.0, Avg reward: -43.68
Episode: 239, Score: -44.0, Avg reward: -43.64
Episode: 240, Score: -48.0, Avg reward: -43.64
Episode: 241, Score: -48.0, Avg reward: -43.64
Episode: 242, Score: -48.0, Avg reward: -43.90
Episode: 243, Score: -48.0, Avg reward: -43.96
Episode: 244, Score: -46.0, Avg reward: -43.94
Episode: 245, Score: -44.0, Avg reward: -43.92
Episode: 246, Score: -40.0, Avg reward: -44.10
Episode: 247, Score: -46.0, Avg reward: -44.08
Episode: 248, Score: -44.0, Avg reward: -44.08
Episode: 249, Score: -42.0, Avg reward: -44.08
Episode: 250, Score: -46.0, Avg reward: -44.06
Episode: 251, Score: -40.0, Avg reward: -43.98
Episode: 252, Score: -20.0, Avg reward: -43.70
Episode: 253, Score: -42.0, Avg reward: -43.70
Episode: 254, Score: -44.0, Avg reward: -44.08
Episode: 255, Score: -44.0, Avg reward: -44.06
Episode: 256, Score: -44.0, Avg reward: -44.06
Episode: 257, Score: -48.0, Avg reward: -44.08
Episode: 258, Score: -48.0, Avg reward: -44.08
Episode: 259, Score: -42.0, Avg reward: -44.06
Episode: 260, Score: -48.0, Avg reward: -44.06
Episode: 261, Score: -48.0, Avg reward: -44.10
Episode: 262, Score: -40.0, Avg reward: -44.02
Episode: 263, Score: -46.0, Avg reward: -44.02
Episode: 264, Score: -42.0, Avg reward: -43.96
Episode: 265, Score: -42.0, Avg reward: -44.02
Episode: 266, Score: -40.0, Avg reward: -43.98
Episode: 267, Score: -48.0, Avg reward: -44.00
Episode: 268, Score: -36.0, Avg reward: -43.88
Episode: 269, Score: -44.0, Avg reward: -43.90
Episode: 270, Score: -46.0, Avg reward: -43.90
Episode: 271, Score: -44.0, Avg reward: -43.88
Episode: 272, Score: -44.0, Avg reward: -43.86
Episode: 273, Score: -48.0, Avg reward: -43.88
Episode: 274, Score: -42.0, Avg reward: -43.86
Episode: 275, Score: -48.0, Avg reward: -43.86
Episode: 276, Score: -46.0, Avg reward: -43.86
Episode: 277, Score: -36.0, Avg reward: -43.74
Episode: 278, Score: -42.0, Avg reward: -43.70
Episode: 279, Score: -48.0, Avg reward: -43.74
Episode: 280, Score: -44.0, Avg reward: -43.74
Episode: 281, Score: -46.0, Avg reward: -43.72
Episode: 282, Score: -44.0, Avg reward: -43.74
Episode: 283, Score: -48.0, Avg reward: -43.74
Episode: 284, Score: -48.0, Avg reward: -43.78
Episode: 285, Score: -46.0, Avg reward: -44.12
Episode: 286, Score: -44.0, Avg reward: -44.08
Episode: 287, Score: -36.0, Avg reward: -43.96
Episode: 288, Score: -46.0, Avg reward: -44.18
Episode: 289, Score: -46.0, Avg reward: -44.20
Episode: 290, Score: -46.0, Avg reward: -44.18
Episode: 291, Score: -44.0, Avg reward: -44.18
Episode: 292, Score: -44.0, Avg reward: -44.14
Episode: 293, Score: -46.0, Avg reward: -44.12
Episode: 294, Score: -48.0, Avg reward: -44.24
